 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size,Fwd Header Length.1, Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk, Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
3389,5964.249841218265,4578.009436225596,7265.284927468907,5026.976878851465,3005.6881623847394,3509.7853979663473,5496.408420277573,6325.494672205704,4637.074056007543,5730.441915248047,5516.5416421624905,5383.5149288434,4262.492016523134,3037.7724317622497,4232.5344202296765,5855.969024440523,4406.295079448456,4445.226246694714,5792.9088437413875,4291.359487233533,5022.485638089456,4579.63893041608,4789.172299568314,6202.4918945409645,4673.477597648881,3233.0145540601125,5435.135280283698,4357.749913434555,5033.676828885004,2,4,6,1,6111.202344922099,3523.7716882366026,5495.483111093257,5349.174160038192,4455.895204600677,4172.662576184306,4482.999524188868,4479.925114636106,6844.3222436062915,2,7,2,0,7,3,3,4,0.27633658673291184,5303.646481536194,5292.550704189649,5686.530284670862,5107.360873477278,5191.5053991092755,2936.464300110849,5004.031831488612,4683.485422217405,5730.086781272535,4468.404002610992,6150.950969830757,3577.955683115869,3991.076687729586,5385.875553051503,4669.402284189883,4234.2755854276475,2849.1970122341572,4220.3975282014435,3351.531697011893,4306.197979358651,4269.544335050183,4421.360374711354,4619.570572557209,3419.5968421014577,5264.918519228362,4205.08685596278,Infiltration
80,4923.630909548259,3287.8852856930557,5352.214726684093,5108.811682798871,6100.646833488283,3477.997910832153,6725.044639567223,6584.086301399083,5057.166972512007,5115.7775889872255,3688.168777424257,5288.389635646497,6613.290747447479,6205.0784992547415,5266.102683399783,4726.785904035333,4920.808904726537,6411.672375196795,5033.752494220834,3805.4684377284584,6495.080653142366,5853.117491408662,6215.619871145009,6474.603344393562,3340.5391649563317,6710.012439539927,4412.862095551873,5775.557274792588,5081.216264236567,4,5,9,3,2994.234315541338,4460.7983666871205,6606.870803643731,5606.439213878101,3497.8409079928433,5519.30657747739,5158.690945997851,3842.1473332005553,4155.803797359394,6,1,3,7,2,2,3,3,0.9568489522304533,4144.175462143953,5786.344546578198,3449.432192222159,5221.781214495809,4340.425215752131,5907.09944248779,4262.065759982646,4228.274323664609,5221.004317993041,3973.494532475173,5609.239984818218,5837.454624888294,4826.2474986554635,4893.919387734545,7950.064717950193,4902.760988207424,5356.138960055497,5889.897621088094,5606.465403644284,3649.733401255538,6545.185298593717,4127.417950327317,4883.035207270942,7037.473765801479,6062.973209323204,4324.984314736277,BENIGN
3389,6189.375411956893,4853.50186491873,3102.375697509468,3810.0590937010197,5122.006855361615,6133.079048881724,4465.652996568461,2136.0352696625146,4654.34812985527,5283.818408489602,6194.373469495851,6096.747630644482,4428.271324093038,4677.103703566933,6970.951554748052,4570.262332491393,5716.315479333876,5857.655945948646,4169.537053880157,4632.2262937221985,6490.977425762418,4510.199334377554,5422.608642388252,5953.075742267929,4943.778515562482,3471.258273396973,4252.044741017483,4225.630172135142,6394.4351061836205,8,5,6,1,5792.568718530752,5017.352926811891,5841.859150787242,7166.843073603338,4321.267766851852,5563.904032383942,5126.962647044261,4286.267578061943,5029.76385949757,6,9,9,0,2,4,5,5,0.7404925468192184,3695.56741083604,5657.992561141868,6075.672377836725,4422.190155811692,4932.087860638565,5422.238618130241,7622.984461589978,4057.494042431095,4139.50797536394,5383.623650251171,4852.619979060623,5647.701890095198,4804.17688254069,6172.883715371969,3606.478674454902,5808.606177457563,4729.580897983135,5845.290606794799,5965.768096281126,2445.4790357102524,3694.1214044067046,5474.501505681928,6640.933217065469,3804.362976441159,4042.9740570584618,5106.604957658305,BENIGN
443,7614.54232827653,4292.2803289860385,4717.231858732137,5821.651807940175,2887.875466464047,5291.990725365306,4069.8149127002243,4166.343497945175,4617.221253344024,6950.211623276589,4970.101378951133,3805.2872761434655,5913.769843826495,4857.438054875405,5201.041009243697,4764.800851125984,4830.566034296438,6897.972568282588,4795.9190205296545,5917.35546741999,7097.27171665223,4607.300830862221,4597.833396711358,5806.3579434442845,4874.899456587086,4300.116958431186,3940.261724900283,5534.9436751888825,4612.480588671128,5,5,4,8,5124.143362343323,5221.754822444,3585.6021599157325,4858.8019536529655,4687.529340779623,5523.249173469537,4285.6907983898545,4997.805853962636,6005.189714361686,2,9,4,8,3,5,3,9,0.5827683076940698,6191.038907728644,4993.217210158203,6161.241443924737,3490.947280386361,2638.8768834677735,4866.009054280745,4942.1361797107675,4857.956187244649,5605.020510003891,3043.916016136607,6387.1819595192,4361.385285856907,3222.0672134725114,6725.667887003795,3973.834352890901,5345.122161885887,5912.559184036976,4572.192453569237,5978.314205975998,5474.974359753702,5207.063161669754,5604.739820017745,4933.219525766861,3698.0000952515365,5728.579769519727,5813.09133104951,BENIGN
443,6224.324021310734,4180.82032077774,6014.0252667416735,4944.864218335578,4536.656494849718,4206.490524275644,4650.186808324976,5086.148758359132,4856.670612839211,5148.149678880418,4690.445058074233,5855.42978754934,6760.684631348551,4213.610142280752,4877.050393501247,4831.042251228732,4321.1979499300505,4762.813978503986,5227.102246563377,3517.953668814933,4841.528521315823,6456.49723911642,6251.006015423984,4977.586516985701,5252.049903409149,5759.731616278418,4463.948770546208,4400.539050230243,4919.6604701225315,6,1,1,4,4033.436214697741,3244.428577476493,4871.413627848059,4016.976491580078,5879.337924117186,4835.637988496034,5241.822287174732,5557.008240979588,2392.0645450111856,9,1,5,0,5,8,6,9,0.31093831725593124,4876.304058897521,3751.432393328672,5511.565041450723,5366.141664831721,6215.056958251935,5354.348538893699,5292.893632914122,5052.164211981838,3814.7982460116395,5397.075856552274,5522.395389394117,5092.104478027908,3743.1589485643735,6604.453216327036,5241.37918426189,4701.811892742166,6538.700155820836,2706.9742622090234,5254.235070814951,4508.9096968470185,4657.227539387664,4555.92712122131,3989.1176010541762,4747.749358789065,6332.618822062778,5601.857719200752,DoS
443,5439.546349351964,5613.270165057349,5709.083271637881,2584.2733195918036,5319.556524708618,4200.779917564314,4284.611256243513,2956.218920079567,3862.10624813417,5030.563370787408,7672.847223757843,7208.848385094761,5947.748241479401,3770.3195851965756,6170.492564137436,5447.78368787679,1924.1091054437884,3922.4989284602093,4995.761320047159,6104.559440309633,4219.416389699618,5076.559960800933,4827.998085000801,4431.354065700757,4217.777957452197,4515.649854015139,4784.2538228050225,4582.5969627596005,4381.96429536709,2,1,5,0,7457.723880703763,3773.5915142371614,4335.577878437821,4152.0001574849175,5645.3530460368565,5359.18145394015,6363.453952872709,5580.1459812318835,4729.57132723881,5,0,0,3,4,7,7,4,0.24184780947249007,5115.97944914222,5523.048861328141,5722.456014913074,5181.568444169543,3994.9959874491124,6062.806650811037,1925.5094141140735,3668.9609165541215,3998.326808179872,5167.138688864953,4600.2389155695,5431.598026274935,4669.833977520352,3732.98131417868,6395.728981461574,5044.86091152789,5328.93572210931,3686.4021954184163,3740.215146809383,4948.07776764437,5866.44114633585,7236.837458438944,5837.6679194103435,6277.042321145286,5159.200097104851,4966.159045402887,PortScan
445,5463.66902795707,4609.601172029881,6842.596504971162,6851.64244940422,5898.582760096849,5784.785943507479,3950.2358462860016,3974.350903527188,5246.433561452448,5189.51878639184,5431.6032306165935,5741.704276344042,5720.576308605235,5070.44079222184,4572.38564138313,5352.322024154553,5083.225519440688,3843.8315449631655,5219.4759457178,4484.615483767306,5933.023658456918,3324.8706400137717,3940.9600190369956,5169.650338577488,5204.137525443791,4658.369646919631,4290.248576418358,2894.5444239869516,4034.451264138466,7,0,0,1,4945.260625489827,5752.144897033952,4965.239175687669,3741.665472672541,4985.912938616079,5914.066590060905,6157.442593451375,4564.941318400152,4280.066519871587,2,8,4,7,0,4,9,2,0.14335098671330637,6810.888299173688,4179.762947526206,4895.524639786991,6763.123790804354,4470.848860825123,5232.493087589945,4456.3689409727,4406.781208542263,4142.859891017004,3755.1530122013633,5446.474933796159,6476.79834532199,6461.826635389822,6117.939209865619,3885.1877057392303,3945.3869451591218,3564.33398426598,4861.774222014831,4929.889324451282,5613.224761814925,5072.384751647332,4065.4194620258404,4683.195795164251,4893.631808505622,4910.7061949486415,6586.512616313486,BENIGN
80,3410.273859243275,5876.0601009195,4054.436185131915,6990.820630728275,4164.034599815213,5226.279665737672,6807.3967395852715,3348.546910854626,5648.730565160088,3938.730391809815,5299.244365160715,2969.8763438022697,6168.736305545024,4686.950385667543,5339.91586458455,5726.884954771556,5136.288595075806,3809.8192522327936,5725.7474544738325,3563.9307781295483,6065.32480923876,5513.256519765516,2918.6541493471605,5431.9104387621555,4234.236053823569,6548.044206548659,4761.302559189084,5003.610457973333,5370.390080448649,9,5,4,8,5760.087538319412,5533.637256837248,4646.628107043471,5205.353877756871,5329.9040115450425,3429.654389187581,4744.330843423455,5436.205404156245,4124.847174518987,7,1,7,0,4,6,7,6,0.35427455800832763,4660.922847988514,5283.611771615925,6667.139529489219,3825.462859805456,4718.808790216783,5898.747097292953,4900.819448953446,3691.5327420164867,5355.019731142274,4768.277431539463,4948.0846484370395,4422.379388405153,5627.077097419063,6224.45976846357,5949.524186398933,6216.645764841167,6274.141395504219,4750.820710236929,5436.638304766779,5215.015105908024,3972.639507043671,5887.056811216564,7629.648948249602,3686.866600318585,4584.175554917039,5623.7918034491195,BENIGN
443,5375.147838315398,5856.87337423622,5672.935469118654,4358.237891235684,5018.850738523385,5396.837233242987,4035.519102326586,5959.527984638043,4223.543850650136,3906.9120177957184,2795.2591693994955,5189.061216375692,4749.848245109405,3956.852540642106,6430.182344275486,5099.244520276387,4398.086188946535,4770.281542474052,5910.544485129253,5655.387146183366,6438.514670617977,5486.465721195709,2091.064016921679,4940.956649014539,5273.56661336618,4637.810799549945,4343.123308701828,4886.797807343327,6661.438256268122,2,5,9,3,6531.0417058664825,5485.764456190147,5809.319931635133,5459.236883605954,3741.3863784332534,3111.5648270785778,4139.041830461512,4269.976321248326,4854.662458308261,9,1,7,6,4,0,3,7,0.6762228206298002,5866.635749660721,3406.13159996217,3117.2504606499006,3645.33748877832,4499.9096984514235,4516.85288975897,6199.467927474911,5715.0264991325685,3722.506979592193,6563.4736318399355,4122.231162175908,5457.33284172511,5530.20700157941,3793.649937248865,3079.181762056338,4647.726608175703,6149.550247182913,6556.266207935473,4442.8146987411965,3856.596251092259,5159.217383878323,4866.071487996508,4942.580045833287,5664.458456427192,4741.629766339192,4581.636855506138,BENIGN
22,4661.694018342159,4231.876629465241,4676.3203459096,6982.078488787083,3654.9350665342736,6167.10702254571,5099.926913285933,5783.63649404689,4749.044883511137,4461.866006726528,4032.816442328951,4164.372459826558,4130.09817526541,3800.4044752131686,4269.45096641856,3592.8609064313664,5908.283637317635,4799.753952539645,5053.646714546405,5446.299838087732,4045.7287159592274,3511.8490494542175,5648.055501854586,4617.155260762566,7851.8507089745835,6745.608185820483,7961.206380784114,4069.1981886411068,4910.502065264675,0,3,9,8,5455.338666803155,4742.4288612943865,4873.049463027271,6638.902281574875,3704.052561362074,5380.770446333436,2705.2029793405727,4591.50663623479,3794.260563274313,4,1,6,1,2,4,8,5,0.4875462013789602,6009.071686995079,3105.923852661471,5300.103975512358,4289.120807151016,2677.360178673932,4806.830547807554,3535.2997423023617,6685.443014483435,5974.539097687348,5780.181970922922,3142.8895844673925,4892.419974547546,4156.707737363456,3874.965842608449,6282.369204008132,4961.396010100147,3911.7359699521803,3419.9524555243656,3384.2261643866823,4700.0623446353975,3304.3547348981388,5283.673689146484,5344.57545327426,6363.490331626047,4457.2270946296985,4406.683798002408,BENIGN
